fund_key,nome,cnpj,gestor,classe_anbima,patrimonio_liquido,publico_alvo,taxa_administracao_cvm_mensal_pct,referencia_fundo_kinea,eh_fundo_kinea,source
CNPJ:54.070.985/0001-50,MDP INFRA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA,54.070.985/0001-50,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,46350873.68,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.090.484/0001-36,TENAX INFRA SELEÇÃO FUNDO INC INVEST FINAN EM DEB INFRA CIC RF CRED PRIV LP - RESP LIMITADA,54.090.484/0001-36,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,196023225.2,Público Geral,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.092.021/0001-03,PORTO VECCHIO FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.092.021/0001-03,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,20203918.12,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.094.978/0001-99,SPX SEAHAWK SELEÇÃO FIF INCENTIVADO DEB INFRA CIC RF CRED PRIV LP - RESP LIMITADA,54.094.978/0001-99,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,39287613.1,Público Geral,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.104.763/0001-01,BROMÉLIA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.104.763/0001-01,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,22437763.39,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.106.156/0001-80,INDAIATUBA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.106.156/0001-80,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,17271321.84,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.106.504/0001-10,MTR04 FIF INVESTIMENTO EM INFRAESTRUTURA CI EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA,54.106.504/0001-10,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,Renda Fixa Duração Livre Crédito Livre,37000422.89,,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.114.987/0001-02,LEGACY CAPITAL TFO FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.114.987/0001-02,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,Renda Fixa Duração Livre Crédito Livre,226386977.33,Qualificado,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.115.218/0001-10,PANICALE FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRAEST RF CRÉD PRIV - RESP LIMITADA,54.115.218/0001-10,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,103729310.38,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.115.354/0001-00,SUNSET C CDI FIF- FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV- RESP LIMITADA,54.115.354/0001-00,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,53794279.32,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
